颜色,名字,盒号,行,列
fff5ca,A1,5,2,1
fff5ca,A1_2,E,2,5
ffffcc,A2,6,1,3
fff297,A3,3,1,1
fff297,A3_2,D,1,2
fff651,A4,1,1,6
fff651,A4_2,D,2,1
ffdb4d,A5,5,1,2
ffdb4d,A5_2,D,3,1
fcc73b,A6,1,2,6
fcc73b,A6_2,D,2,3
fe8443,A7,1,3,6
fe8443,A7_2,D,3,3
e5c62d,A8,5,1,3
e5c62d,A8_2,D,4,1
fbaa72,A9,5,1,5
fbaa72,A9_2,D,1,4
fd9443,A10,2,2,5
fd9443,A10_2,D,3,2
ffcf7c,A11,2,1,6
ffcf7c,A11_2,D,1,3
fdbc9e,A12,5,1,4
fdbc9e,A12_2,E,2,1
fdbd37,A13,D,2,2
ff7443,A14,4,1,4
ff7443,A14_2,D,4,2
f1f04a,A15,D,1,1
fff49e,A16,9,3,2
fde676,A17,9,3,3
ffb67b,A18,9,3,4
fa9285,A19,9,4,6
fee27e,A20,10,1,3
ebc699,A23,10,1,4
e7b84c,A25,10,1,2
e59606,A26,10,1,1
eaf149,B1,5,2,3
eaf149,B1_2,C,2,4
b6eb45,B2,5,2,4
b6eb45,B2_2,C,3,3
9af5a8,B3,1,1,1
9af5a8,B3_2,C,2,1
51ff51,B4,5,2,5
51ff51,B4_2,C,3,2
6fd363,B5,1,2,1
6fd363,B5_2,C,3,1
79ebc7,B6,5,3,4
79ebc7,B6_2,A,2,1
3bb48b,B7,3,4,2
3bb48b,B7_2,A,4,2
13904c,B8,1,3,1
13904c,B8_2,C,4,3
28523a,B9,8,4,4
ace1d9,B10,3,2,2
ace1d9,B10_2,A,1,1
52641d,B11,5,2,6
52641d,B11_2,C,4,5
206a4f,B12,2,4,1
206a4f,B12_2,C,4,2
c7ff85,B13,5,2,2
c7ff85,B13_2,C,2,3
d0ed39,B14,3,3,1
d0ed39,B14_2,C,3,4
205726,B15,5,3,6
205726,B15_2,C,4,1
ccffaa,B16,5,3,3
ccffaa,B16_2,C,2,2
b6c130,B17,3,4,1
b6c130,B17_2,C,4,4
e4f954,B18,3,2,1
e4f954,B18_2,C,1,4
00d0a1,B19,3,3,2
00d0a1,B19_2,A,4,1
c4ffd7,B20,3,1,2
c4ffd7,B20_2,C,1,2
157c74,B21,11,3,5
0d5349,B22,11,4,4
32451d,B23,11,4,2
e4fb9f,B24,9,3,1
5c9083,B25,11,3,6
a9a44e,B26,10,2,1
c4cdae,B27,10,2,5
8de1ad,B28,10,3,4
abcf61,B29,10,2,6
d2e1a0,B30,10,2,4
a5bd8b,B31,10,2,3
929842,B32,10,2,2
e0ffe2,C1,5,3,2
e0ffe2,C1_2,C,1,3
b9f6ed,C2,2,1,1
b9f6ed,C2_2,A,1,2
a8e1fc,C3,1,1,2
a8e1fc,C3_2,A,1,3
84d2ff,C4,5,4,4
84d2ff,C4_2,A,2,2
24b9e4,C5,1,2,2
24b9e4,C5_2,A,3,3
78bdf8,C6,2,2,2
78bdf8,C6_2,A,3,4
3c8aec,C7,2,3,2
3c8aec,C7_2,A,3,5
195dc4,C8,1,3,2
195dc4,C8_2,A,4,3
2e26cc,C9,5,4,6
2e26cc,C9_2,A,4,4
30d9ed,C10,2,2,1
30d9ed,C10_2,A,2,3
00c4d0,C11,2,3,1
00c4d0,C11_2,A,3,2
1a3758,C12,8,4,5
b4d7ff,C13,2,1,2
b4d7ff,C13_2,A,1,4
e0fff9,C14,5,4,1
e0fff9,C14_2,C,1,1
00cbd2,C15,5,3,5
00cbd2,C15_2,A,3,1
0a5491,C16,3,4,3
0a5491,C16_2,A,4,6
7be7f4,C17,5,4,5
7be7f4,C17_2,A,2,4
264257,C18,11,4,3
259bb9,C19,11,4,5
157cbf,C20,11,3,4
deeefe,C21,10,4,6
7fc0d4,C22,10,3,1
a7c3c6,C23,10,3,2
71c0e1,C24,10,3,3
83cfc3,C25,10,3,5
18a5c0,C26,11,4,6
dce5ec,C27,10,3,6
a6b7c9,C28,10,4,5
b9cffe,D1,5,4,3
b9cffe,D1_2,A,2,5
9ca6db,D2,3,3,3
9ca6db,D2_2,A,3,6
224eb1,D3,2,4,2
224eb1,D3_2,A,4,5
2e4770,D4,8,4,6
c56fb8,D5,4,4,1
c56fb8,D5_2,B,3,3
aa76e4,D6,1,2,3
aa76e4,D6_2,B,2,6
7e4dc7,D7,1,3,3
7e4dc7,D7_2,B,4,5
e0cdff,D8,3,1,4
e0cdff,D8_2,B,1,5
c9befd,D9,1,1,3
c9befd,D9_2,B,1,6
351d4f,D10,8,4,1
c1c2ff,D11,3,2,3
c1c2ff,D11_2,A,2,6
daafe4,D12,3,2,4
daafe4,D12_2,B,2,5
c64dae,D13,2,3,4
c64dae,D13_2,B,3,4
9735b3,D14,3,4,4
9735b3,D14_2,B,4,4
46297d,D15,2,4,3
46297d,D15_2,B,4,6
e3e4ff,D16,3,1,3
e3e4ff,D16_2,A,1,5
c9d9fd,D17,5,4,2
c9d9fd,D17_2,A,1,6
b87bd5,D18,2,2,3
b87bd5,D18_2,B,3,6
e8cbfa,D19,2,1,3
e8cbfa,D19_2,B,1,4
a73ae9,D20,3,3,4
a73ae9,D20_2,B,3,5
8b339b,D21,2,3,3
8b339b,D21_2,B,4,3
595093,D22,11,3,2
efe7fc,D23,9,2,1
7f77ea,D24,11,3,3
423bc0,D25,11,3,1
d8aace,D26,11,1,6
ffd1cc,E1,3,1,5
ffd1cc,E1_2,E,1,2
ffcaea,E2,1,1,4
ffcaea,E2_2,B,1,2
fb8dc5,E3,2,2,4
fb8dc5,E3_2,B,2,3
ee78ac,E4,1,2,4
ee78ac,E4_2,B,2,2
f653a6,E5,3,3,5
f653a6,E5_2,B,3,1
fd2f81,E6,4,3,2
fd2f81,E6_2,B,2,1
a2176a,E7,2,4,4
